;id;accumulated_score;achievements;n_achievements
51;22119354;40;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
52;23545574;39;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
53;24832331;39;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
54;52027778;39;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
55;23545730;39;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
56;23545903;39;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
57;23546025;39;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
58;23546153;39;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
59;23546184;39;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
60;23546204;39;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
61;23546305;39;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
62;23546340;39;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
63;43139388;38;['SAME_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
64;23545553;37;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'TOP_10_TEMPLATES', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
65;23545582;37;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
66;48065295;37;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
67;23545849;37;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];7
68;23546022;37;['SAME_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
